customerID,Gender,Elderly,Married,Dependents,Time_as_Client,PhoneService,Internet_Service,Security_Service,Suport,StreamingTV,Contract_Type,PaymentMethod,Monthly_Payment,Total_Paid,Churn
7590-VHVEG,F,0,Yes,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,29.85,29.85,No
5575-GNVDE,M,0,No,No,34,Yes,DSL,Yes,No,No,One year,Mailed check,56.95,1889.5,No
3668-QPYBK,M,0,No,No,2,Yes,DSL,Yes,No,No,Month-to-month,Mailed check,53.85,108.15,Yes
7795-CFOCW,M,0,No,No,45,No,DSL,Yes,Yes,No,One year,Bank transfer (automatic),65.61,1840.75,No
8191-XWSZG,F,0,No,No,52,Yes,NO,No internet service,No internet service,No internet service,One year,Mailed check,65.61,1022.95,No
9959-WOFKT,M,0,No,Yes,71,Yes,FIBER OPTIC,Yes,No,Yes,Two year,Bank transfer (automatic),65.61,7382.25,No
4190-MFLUW,F,0,Yes,Yes,10,Yes,DSL,No,Yes,No,Month-to-month,Credit card (automatic),65.61,528.35,Yes
4183-MYFRB,F,0,No,No,21,Yes,FIBER OPTIC,No,No,No,Month-to-month,Electronic check,65.61,1862.9,No
8779-QRDMV,M,1,No,No,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.61,39.65,Yes
1680-VDCWW,M,0,Yes,No,12,Yes,NO,No internet service,No internet service,No internet service,One year,Bank transfer (automatic),65.61,202.25,No
1066-JKSGK,M,0,No,No,1,Yes,NO,No internet service,No internet service,No internet service,Month-to-month,Mailed check,65.61,20.15,Yes
3638-WEABW,F,0,Yes,No,58,Yes,DSL,No,Yes,No,Two year,Credit card (automatic),65.61,3505.1,No
6322-HRPFA,M,0,Yes,Yes,49,Yes,DSL,Yes,Yes,No,Month-to-month,Credit card (automatic),65.61,2970.3,No
6865-JZNKO,F,0,No,No,30,Yes,DSL,Yes,No,No,Month-to-month,Bank transfer (automatic),65.61,1530.6,No
6467-CHFZW,M,0,Yes,Yes,47,Yes,FIBER OPTIC,No,No,Yes,Month-to-month,Electronic check,65.61,4749.15,Yes
8665-UTDHZ,M,0,Yes,Yes,1,No,DSL,No,No,No,Month-to-month,Electronic check,65.61,30.2,Yes
5248-YGIJN,M,0,Yes,No,72,Yes,DSL,Yes,Yes,Yes,Two year,Credit card (automatic),65.61,6369.45,No
8773-HHUOZ,F,0,No,Yes,17,Yes,DSL,No,No,Yes,Month-to-month,Mailed check,65.61,1093.1,Yes
